code,mode,class,name
J-02900,,00,029 Ingénieurs n.c.a.
J-02920,,01,ingénieur de céramique et verrerie
J-02920,,02,ingénieure de céramique et verrerie
J-02930,,01,ingénieur agricole
J-02930,,02,ingénieure agricole
J-02940,,01,ingénieur de la fabrication de denrées alimentaires et de boissons
J-02940,,02,ingénieure de la fabrication de denrées alimentaires et de boissons
J-02950,,01,ingénieur de la circulation routière
J-02950,,02,ingénieure de la circulation routière
J-02960,*,01,Ingénieur commercial
J-02960,*,02,ingénieure commerciale
J-02990,,01,autres ingénieurs
J-02990,,02,autres ingénieures
J-03100,,00,031 Géomètres
J-03110,,01,"géomètre, en général"
J-03120,,01,arpenteur-géomètre
J-03120,,02,arpenteuse-géomètre
J-03130,,01,géomètre des mines
J-03140,,01,ingénieur hydrographe
J-03140,,02,ingénieure hydrographe
J-03150,,01,photogrammètre
J-03190,,01,autres géomètres
J-03200,,00,032 Dessinateurs
J-03210,,01,"dessinateur, en général"
J-03210,,02,"dessinatrice, en général"
J-03220,,01,dessinateur en construction mécanique
J-03220,,02,dessinatrice en construction mécanique
J-03230,,01,dessinateur d'installations électriques
J-03230,,02,dessinatrice d'installations électriques
J-03240,,01,dessinateur en génie civil
J-03240,,02,dessinatrice en génie civil
J-03250,,01,dessinateur en architecture
J-03250,,02,dessinatrice en architecture
J-03260,,01,dessinateur cartographe
J-03260,,02,dessinatrice cartographe
J-03270,,01,illustrateur technique
J-03270,,02,illustratrice technique
J-03280,,01,lithographe
J-03290,,01,autres dessinateurs
J-03290,,02,autres dessinatrices
J-03300,,00,033 Techniciens en génie civil
J-03310,,01,"technicien en génie civil, en général"
J-03310,,02,"technicienne en génie civil, en général"
J-03320,,01,métreur-vérificateur
J-03320,,02,métreuse-vérificatrice
J-03330,,01,aide-géomètre
J-03340,,01,surveillant de travaux de construction
J-03340,,02,surveillante de travaux de construction
J-03390,,01,autres techniciens en génie civil
J-03390,,02,autres techniciennes en génie civil
J-03400,,00,034 Techniciens en génie électrique et électronique
J-03405,,01,"technicien électricien, en général"
J-03405,,02,"technicienne électricienne, en général"
J-03410,,01,"technicien électronicien, en général"
J-03410,,02,"technicienne électronicienne, en général"
J-03420,,01,technicien électricien (haute tension)
J-03420,,02,technicienne électricienne (haute tension)
J-03430,,01,technicien en télécommunications
J-03430,,02,technicienne en télécommunications
J-03490,,01,autres techniciens en génie électrique et électronique
J-03490,,02,autres techniciennes en génie électrique et électronique
J-03500,,00,035 Techniciens en génie mécanique
J-03510,,01,"technicien mécanicien, en général"
J-03510,,02,"technicienne mécanicienne, en général"
J-03520,,01,technicien mécanicien (spécialiste des moteurs)
J-03520,,02,technicienne mécanicienne (spécialiste des moteurs)
J-03530,,01,technicien de l'aéronautique
J-03530,,02,technicienne de l'aéronautique
J-03540,,01,technicien de l'automobile
J-03540,,02,technicienne de l'automobile
J-03550,,01,"technicien en chauffage, ventilation et réfrigération"
J-03550,,02,"technicienne en chauffage, ventilation et réfrigération"
J-03590,,01,autres techniciens en génie mécanique
J-03590,,02,autres techniciennes en génie mécanique
J-03600,,00,036 Techniciens des sciences chimiques
J-03610,,01,"technicien en chimie industrielle, en général"
J-03610,,02,"technicienne en chimie industrielle, en général"
J-03620,,01,technicien en chimie (raffinage du pétrole)
J-03620,,02,technicienne en chimie (raffinage du pétrole)
J-03690,,01,autres techniciens en chimie industrielle
J-03690,,02,autres techniciennes en chimie industrielle
J-03700,,00,037 Techniciens métallurgistes
J-03720,,01,technicien métallurgiste (production et affinage des métaux)
J-03720,,02,technicienne métallurgiste (production et affinage des métaux)
J-03730,,01,technicien métallurgiste (traitement des métaux)
J-03730,,02,technicienne métallurgiste (traitement des métaux)
J-03790,,01,autres techniciens métallurgistes
J-03790,,02,autres techniciennes métallurgistes
J-03800,,00,038 Techniciens des mines
J-03810,,01,"technicien des mines, en général"
J-03810,,02,"technicienne des mines, en général"
J-03820,,01,technicien de l'extraction du pétrole et du gaz naturel
J-03820,,02,technicienne de l'extraction du pétrole et du gaz naturel
J-03890,,01,autres techniciens des mines
J-03890,,02,autres techniciennes des mines
J-03900,,00,039 Techniciens de l'industrie n.c.a.
J-03920,,01,technicien des méthodes de production
J-03920,,02,technicienne des méthodes de production
J-03930,,01,technicien de l'étude des temps et des mouvements
J-03930,,02,technicienne de l'étude des temps et des mouvements
J-03990,,01,autres techniciens de l'industrie
J-03990,,02,autres techniciennes de l'industrie
J-04000,,0,04 Officiers du transport aérien et maritime
J-04100,,00,"041 Pilotes d'avions, navigateurs et mécaniciens de bord"
J-04120,,01,pilote d'avion (transports aériens)
J-04130,,01,pilote d'avion (à l'exception des transports aériens)
J-04140,,01,navigateur de bord
J-04140,,02,navigatrice de bord
J-04150,,01,mécanicien de bord
J-04150,,02,mécanicienne de bord
J-04160,,01,instructeur de vol
J-04160,,02,instructrice de vol
J-04200,,00,042 Officiers de pont et pilotes
J-04215,,01,capitaine de navire (navigation maritime)
